순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
5,구자욱,삼성,0.304,280,85,24,0,14,57,25,6,40,3,3번
6,맥키넌,삼성,0.220,59,13,3,0,1,4,10,1,9,2,3번
7,이성규,삼성,0.167,12,2,1,0,0,2,0,2,5,1,3번
8,김성윤,삼성,0.000,1,0,0,0,0,0,0,0,1,0,3번
8,김재상,삼성,0.000,1,0,0,0,0,0,0,0,1,0,3번
8,김재혁,삼성,0.000,4,0,0,0,0,2,1,0,1,0,3번
8,김헌곤,삼성,0.000,1,0,0,0,0,0,1,0,1,0,3번
8,김현준,삼성,-,0,0,0,0,0,0,1,0,0,0,3번
8,김호진,삼성,0.000,1,0,0,0,0,0,0,0,1,0,3번
8,류승민,삼성,0.000,1,0,0,0,0,0,1,0,1,0,3번
8,박병호,삼성,0.000,1,0,0,0,0,0,0,0,0,0,3번
1,김헌곤,삼성,1.000,1,1,0,0,0,0,0,0,0,0,4번
1,전병우,삼성,1.000,1,1,0,0,0,1,0,0,0,0,4번
3,맥키넌,삼성,0.363,146,53,8,0,3,27,26,0,15,3,4번
4,강민호,삼성,0.333,57,19,1,0,3,14,7,1,11,2,4번
5,구자욱,삼성,0.250,4,1,0,0,1,1,0,0,1,0,4번
6,김영웅,삼성,0.246,61,15,1,0,4,11,11,1,18,0,4번
7,박병호,삼성,0.200,85,17,0,0,5,15,15,2,35,5,4번
8,강한울,삼성,0.000,2,0,0,0,0,1,0,0,0,0,4번
8,공민규,삼성,0.000,2,0,0,0,0,0,0,0,0,1,4번
8,김동엽,삼성,0.000,5,0,0,0,0,1,0,0,3,0,4번
8,김재성,삼성,0.000,4,0,0,0,0,0,1,0,1,0,4번
8,김재혁,삼성,0.000,1,0,0,0,0,0,0,0,1,0,4번
8,김태훈,삼성,0.000,1,0,0,0,0,0,0,0,0,1,4번
8,이병헌,삼성,0.000,4,0,0,0,0,0,1,0,1,0,4번
8,이성규,삼성,-,0,0,0,0,0,1,1,1,0,0,4번
8,이창용,삼성,0.000,1,0,0,0,0,0,0,0,0,0,4번
1,김재상,삼성,0.667,3,2,0,0,1,2,1,0,1,0,5번
1,김지찬,삼성,0.667,3,2,0,0,0,1,0,0,0,0,5번
3,김재성,삼성,0.5,2,1,1,0,0,0,1,0,1,0,5번
4,이재현,삼성,0.3,30,9,2,0,0,3,4,0,6,0,5번
5,류지혁,삼성,0.286,63,18,2,0,1,12,3,1,12,2,5번
6,강민호,삼성,0.245,53,13,1,0,1,5,5,0,6,5,5번
7,김재혁,삼성,0.222,18,4,1,1,0,3,1,0,8,0,5번
8,김영웅,삼성,0.219,96,21,3,2,5,14,11,0,29,0,5번
9,박병호,삼성,0.188,48,9,2,0,0,5,4,3,18,3,5번
10,맥키넌,삼성,0.158,19,3,1,0,0,1,1,0,3,0,5번
11,이성규,삼성,0.152,33,5,0,0,3,7,6,1,9,1,5번
12,강한울,삼성,0.0,1,0,0,0,0,0,0,0,0,0,5번
12,김태훈,삼성,0.0,1,0,0,0,0,0,0,1,0,0,5번
12,이병헌,삼성,0.0,2,0,0,0,0,0,0,0,0,0,5번
1,김현준,삼성,0.667,3,2,1,0,0,2,0,0,0,1,6번
2,김동엽,삼성,0.500,4,2,1,0,0,1,0,1,2,0,6번
2,김재혁,삼성,0.500,4,2,1,0,0,1,1,0,0,0,6번
4,이재현,삼성,0.357,28,10,2,0,1,6,3,0,4,0,6번
5,강한울,삼성,0.333,3,1,0,0,0,0,0,0,0,0,6번
6,강민호,삼성,0.288,52,15,1,0,2,7,4,2,7,2,6번
7,김영웅,삼성,0.286,84,24,4,0,5,14,9,1,29,1,6번
